rssi_bob,rssi_alice
-65,-51
-67,-59
-74,-60
-71,-59
-69,-59
-67,-58
-67,-62
-75,-65
-69,-58
-72,-59
-72,-77
-72,-63
-70,-61
-71,-69
-69,-61
-70,-66
-70,-65
-69,-59
-68,-66
-70,-64
-70,-71
-72,-58
-88,-60
-72,-67
-85,-76
-80,-69
-72,-71
-79,-65
-78,-69
-76,-64
-74,-76
-76,-65
-76,-65
-75,-65
-77,-65
-75,-64
-79,-67
-70,-60
-67,-55
-75,-66
-78,-67
-83,-70
-77,-70
-82,-85
-89,-77
-83,-78
-83,-67
-77,-67
-86,-71
-74,-58
-71,-55
-77,-76
-76,-62
-82,-66
-84,-72
-87,-67
-86,-77
-82,-70
-81,-67
-83,-65
-85,-70
-88,-66
-83,-72
-82,-74
-86,-80
-84,-74
-80,-72
-83,-63
-93,-78
-83,-79
-82,-73
-80,-64
-84,-63
-83,-69
-90,-75
-89,-70
-85,-71
-83,-72
-82,-65
-80,-65
-88,-67
-77,-81
-80,-77
-75,-56
-67,-50
-70,-57
-67,-53
-68,-56
-68,-57
-60,-48
-56,-42
-52,-38
-56,-42
-81,-69
-80,-64
-84,-63
-83,-69
-90,-75
-70,-57
-67,-53
-68,-56
-68,-57
