rssi_bob,rssi_alice
-121,-112
-118,-106
-116,-106
-114,-109
-114,-104
-115,-113
-119,-111
-117,-112
-116,-104
-120,-111
-119,-108
-118,-102
-113,-112
-107,-94
-106,-99
-106,-105
-111,-99
-108,-92
-100,-89
-99,-91
-90,-91
-103,-77
-88,-78
-88,-72
-87,-68
-87,-73
-89,-81
-91,-92
-94,-80
-104,-89
-106,-105
-116,-93
-107,-99
-107,-103
-111,-107
-115,-98
-108,-97
-111,-96
-113,-105
-115,-107
-115,-104
-114,-104
-112,-102
-116,-99
-117,-113
-113,-106
-113,-104
-114,-103
-121,-112
-116,-106
