rssi_bob,rssi_alice
-84,-70
-86,-70
-91,-83
-103,-79
-95,-88
-99,-87
-102,-90
-111,-98
-111,-101
-111,-107
-120,-107
-118,-111
-116,-107
-117,-108
-117,-112
-113,-102
-113,-103
-112,-106
-113,-101
-109,-100
-108,-94
-106,-91
-101,-90
-102,-95
-99,-84
-98,-82
-101,-95
-102,-90
-101,-94
-101,-94
-107,-91
-104,-93
-104,-96
-115,-107
-117,-106
-119,-110
-118,-109
-116,-104
-116,-110
-121,-112
-118,-106
-116,-106
-114,-109
-114,-104
-115,-113
-119,-111
-117,-112
-116,-104
-120,-111
-119,-108
-118,-102
-113,-112
-107,-94
-106,-99
-106,-105
-111,-99
-108,-92
-100,-89
-99,-91
-90,-91
-103,-77
-88,-78
-88,-72
-87,-68
-87,-73
-89,-81
-91,-92
-94,-80
-104,-89
-106,-105
-116,-93
-107,-99
-107,-103
-111,-107
-115,-98
-108,-97
-111,-96
-113,-105
-115,-107
-115,-104
-114,-104
-112,-102
-116,-99
-117,-113
-113,-106
-113,-104
-114,-103
-121,-112
-116,-106
